id,type,startDate,endDate,name,url,image,description,locationName,locationAddress,organizerName
1f9ca385-454d-47cc-a8f6-5c75f8686650,event,2024-03-28T17:00:00-07:00,2024-03-28T20:00:00-07:00,Bay Area Ruby Meetup Group @ GitHub HQ,https://www.meetup.com/san-francisco-ruby-meetup-group/events/299635202/,https://secure-content.meetupstatic.com/images/classic-events/519578114/676x676.jpg,"(NOTE: [Please register at this Luma Link](https://lu.ma/r6d0lghm) (Github's preference) in addition to RSVPing here.)

Hey, Bay Area builders and tinkerer",GitHub,"88 Colin P Kelly Jr St, San Francisco, CA",SF Bay Area Ruby Meetup Group
d47f9bf9-9510-4980-8ec6-674add2192c6,event,2024-03-28T18:00:00-07:00,2024-03-28T22:00:00-07:00,San Francisco AI Block Party,https://www.meetup.com/sanfrancisco-ai/events/299429399/,https://secure-content.meetupstatic.com/images/classic-events/519380766/676x676.jpg,"Welcome to the San Francisco AI Block Party! Get ready for a night of fun, music, and good vibes in the heart of San Francisco.

Bring your friends and net",1481 Folsom St,"1481 Folsom St, San Francisco, CA",San francisco AI Meetups
4496e9c7-5d41-47d7-8222-919c01814591,event,2024-03-16T13:00:00-07:00,2024-03-16T15:00:00-07:00,Queerly Quarterly Meet & Greet (Bernal Heights & Adjacent),https://www.meetup.com/queerly-quarterly/events/298999698/,https://secure-content.meetupstatic.com/images/classic-events/518923242/676x676.jpg,Welcome to Queerly Quarterly meet and greet! Our meetup focuses on fostering a sense of community among residents and creating connections within the LGBTQ,San Francisco,"Downtown, San Francisco, CA",Queerly Quarterly
3c8c6633-1faa-4d70-8708-2b86a8b7c1d5,event,2024-03-18T15:00:00-07:00,2024-03-18T17:00:00-07:00,Game Developers and Publishers Boba Happy Hour @ GDC!,https://www.meetup.com/conduit-turn-gameplay-into-social-posts/events/298761027/,https://secure-content.meetupstatic.com/images/classic-events/518685848/676x676.jpg,"**\*\*RSVP ON EVENTBRITE FOR ENTRY\*\***
https://www.eventbrite.com/e/game-developers-and-publishers-boba-happy-hour-gdc-tickets-807243736747

Looking for ",Yerba Buena Gardens,"750 Howard St, San Francisco, CA",Conduit - Automatic Social Posts for Indies
5fe689e9-5ba8-4e0b-9801-29822c84be11,event,2024-03-16T11:00:00-07:00,2024-03-16T13:00:00-07:00,Mahamudra: Walking for connection 💫,https://www.meetup.com/mahamudra-walking-for-connection/events/299576166/,h,"Join us for a transformative journey of self-discovery through Mahamudra walking meditation. We will explore personal development, fitness, and techniques ",Ritual Coffee Roasters,"432b Octavia St, San Francisco, CA",Mahamudra: Walking for connection
7f78f0ef-7b27-4c4d-82aa-4d055ceb1394,event,2024-03-27T18:00:00-07:00,2024-03-27T20:00:00-07:00,Talk Series: Event Streaming with Mantis & Scaling Computations with Ray,https://www.meetup.com/data-engineer-things-bay-area-meetup/events/299603013/,https://secure-content.meetupstatic.com/images/classic-events/519750261/676x676.jpg,"Whether you're a seasoned data engineer or just starting out, this event will provide valuable insights and practical tips on the work we do. Come network ",Writing Lab,"180 Golden Gate Ave,, San Francisco , CA",Data Engineer Things Bay Area Meetup
bcc7080d-bb7b-43a0-8cdf-c5f57c442dc8,event,2024-03-19T19:00:00-07:00,2024-03-19T23:59:00-07:00,"GDC 2024 After Party Meetup with HashiCorp, Sentry, Unity, Discord & More",https://www.meetup.com/monthly-sf-game-development-community/events/298874115/,https://secure-content.meetupstatic.com/images/classic-events/519278588/676x676.jpg,"Welcome back to SF Game Development's third annual GDC 2024 After Party Meetup at DNA Lounge on Tuesday, March 19th from 7:00pm-12:00am. This is the larges",DNA Lounge,"375 11th St, San Francisco, CA",SF Game Development
061c732b-19e4-4e61-b575-9f9c4009e294,event,2024-03-28T18:00:00-07:00,2024-03-28T20:00:00-07:00,Data and AI Engineering Panel: Airbyte x LangChain x Pinecone,https://www.meetup.com/data-bytes/events/299752878/,https://secure-content.meetupstatic.com/images/classic-events/519718245/676x676.jpg,"Join us for some light bites, drinks, and discussion about data engineering for AI. Our meetup will include a panel discussion with experts from the engine",100 California St,"100 California St, San Francisco, CA",Data Bytes
6392c0ee-8f69-4216-8aac-513205ebeca6,event,2024-03-26T19:30:00-07:00,2024-03-26T22:30:00-07:00,Make International friends & Language Exchange !,https://www.meetup.com/international-friends-san-francisco/events/299309308/,https://secure-content.meetupstatic.com/images/classic-events/519254228/676x676.jpg,"Make international friends & speak languages (local language included).
The languages spoken may vary based on the participants.
👉🍺🥤 You are asked to or",Iron Horse Cocktails,"25 Maiden Ln, San Francisco, CA",International friends San Francisco
0dc904ab-6553-4d05-b3f8-8b2570a58f8e,event,2024-03-27T18:00:00-07:00,2024-03-27T21:00:00-07:00,Workaholics who Treat Themselves Meetup @ Movida,https://www.meetup.com/workaholics-who-treat-themselves/events/299477384/,https://secure-content.meetupstatic.com/images/classic-events/519425872/676x676.jpg,I am excited to share that we will be hosting our first meetup at Movida. Movida is a new restaurant in SF that serves persian and mexican fusion restauran,555 2nd St,"555 2nd St, San Francisco, CA",Workaholics who treat themselves
