id,type,website,lattitude,longitude,name,address,hours,price,reviewsWebsite,amenities
11c18c88-885c-454c-8e73-6c698144da41,cafe,https://noecafe.com,37.7484974,-122.429217,Noe Cafe,"1299 Sanchez Street, San Francisco, CA 94114",{},0,https://www.tripadvisor.com/Restaurant_Review-g60713-d25491954-Reviews-Noe_Valley_Cafe_LLC-San_Francisco_California.html?m=63959,"Offers Takeout,Accepts Credit Cards,Outdoor Seating,Moderate Noise,Good for Working,Street Parking,Free Wi-Fi,Dogs Allowed,Wheelchair Accessible,Gender-neutral restrooms,Heated Outdoor Seating,Covered Outdoor Seating,Offers Catering,Bike Parking"
340a77de-6076-407c-a900-93f30d700358,cafe,https://www.anothercafesf.com,37.7901681,-122.4154112,Another Cafe,"1191 Pine St, Nob Hill, San Francisco, CA 94109-5104","{""Fri"":""06:00:00–22:00:00"",""Mon"":""06:00:00–22:00:00"",""Sat"":""07:00:00–21:00:00"",""Sun"":""07:00:00–21:00:00"",""Thu"":""06:00:00–22:00:00"",""Tue"":""06:00:00–22:00:00"",""Wed"":""06:00:00–22:00:00""}",1,https://www.tripadvisor.com/Restaurant_Review-g60713-d3235731-Reviews-Another_Cafe-San_Francisco_California.html?m=63959,"Offers Delivery,Offers Takeout,No Reservations,Vegan Options,Accepts Credit Cards,Accepts Android Pay,Accepts Apple Pay,Outdoor Seating,Casual,Moderate Noise,Good for Groups,Good For Kids,Good for Breakfast, Lunch,Good for Working,Street Parking,Free Wi-Fi,Beer &amp; Wine Only,Dogs Allowed,Gender-neutral restrooms,Offers Catering,No TV,No Private Dining,Bike Parking,Compostable containers available"
4e95b0fc-1360-4925-be63-09d717a33009,cafe,https://ritualroasters.com,37.7564167,-122.4212286,Ritual Coffee Roasters,"1026 Valencia St, San Francisco, CA 94110-2406","{""Fri"":""06:00:00–22:00:00"",""Mon"":""06:00:00–22:00:00"",""Sat"":""11:00:00–23:00:00"",""Sun"":""07:00:00–21:00:00"",""Thu"":""06:00:00–22:00:00"",""Tue"":""06:00:00–22:00:00"",""Wed"":""06:00:00–22:00:00""}",2.5,https://www.tripadvisor.com/Restaurant_Review-g60713-d853358-Reviews-Ritual_Coffee_Roasters-San_Francisco_California.html?m=63959,"Offers Takeout,No Delivery,Accepts Credit Cards,Accepts Android Pay,Accepts Apple Pay,Accepts Cryptocurrency,Moderate Noise,Good For Kids,Good for Working,Street Parking,Wheelchair Accessible,Gender-neutral restrooms,Offers Catering,No Drive-Thru,No Heated Outdoor Seating,No Covered Outdoor Seating,Bike Parking,Bring your own container allowed,Compostable containers available,Plastic-free packaging,Provides reusable tableware"
be16e95c-1162-426b-bfe4-1d9a1d999ca9,cafe,https://www.cafereveille.com/lowerhaight,37.7710569,-122.432071,Cafe Réveille,"1998 Polk St, San Francisco, CA  94109, United States","""""",0,http://yelp.com/biz/gc-92vNLNa-Wyn-W3T5Lcg,"Offers Delivery,Offers Takeout,No Reservations,Vegan Options,Accepts Credit Cards,Accepts Apple Pay,Accepts Android Pay,Accepts Cryptocurrency,Outdoor Seating,Hipster, Trendy, Casual,Moderate Noise,Good for Breakfast, Brunch, Lunch, Dessert,Street Parking,Free Wi-Fi,Beer &amp; Wine Only,Wheelchair Accessible,Gender-neutral restrooms,Open to All,Offers Catering,Not Good For Groups,Not Good For Kids,No Waiter Service,Dogs Not Allowed,No TV,Bike Parking,Compostable containers available,Plastic-free packaging,Provides reusable tableware"
6412938e-4ebd-42a4-b507-6432b858f2a1,cafe,https://www.philzcoffee.com,37.7755634,-122.3933972,Philz Coffee,"201 Berry St, San Francisco, CA 94158-1629","{""Fri"":""06:00:00–17:00:00"",""Mon"":""06:00:00–17:00:00"",""Sat"":""06:30:00–18:00:00"",""Sun"":""06:30:00–17:30:00"",""Thu"":""06:00:00–17:00:00"",""Tue"":""06:00:00–17:00:00"",""Wed"":""06:00:00–17:00:00""}",1,https://www.tripadvisor.com/Restaurant_Review-g60713-d1014920-Reviews-Philz_Coffee-San_Francisco_California.html?m=63959,"Offers Delivery,Offers Takeout,No Reservations,Vegan Options,Accepts Credit Cards,Accepts Android Pay,Accepts Apple Pay,Accepts Cryptocurrency,Outdoor Seating,Classy,Moderate Noise,Good for Working,Street Parking,Free Wi-Fi,Dogs Allowed,Wheelchair Accessible,Gender-neutral restrooms,Open to All,Offers Catering,Not Good For Kids,No Waiter Service,No Happy Hour,No Alcohol,No Drive-Thru,No TV,No Heated Outdoor Seating,No Covered Outdoor Seating,No Private Dining,Bike Parking,Bring your own container allowed,Compostable containers available,EV charging station available"
8f98c24a-5c4d-4ef7-be79-005879a6a459,cafe,https://boudinbakery.com/location/union-square-macys-bakery-cafe,37.7866824,-122.407058,Boudin,"160 Jefferson St, Fisherman's Wharf, San Francisco, CA 94133-1202",{},0,https://www.tripadvisor.com/Attraction_Review-g60713-d156537-Reviews-Boudin_at_the_Wharf-San_Francisco_California.html?m=63959,"Offers Delivery,Offers Takeout,No Reservations,Accepts Credit Cards,Accepts Android Pay,Accepts Apple Pay,Casual,Quiet,Offers Catering,Good For Kids,Good for Lunch,Street Parking,Not Good For Groups,No Wi-Fi,No Alcohol,Dogs Not Allowed,No TV,No Bike Parking"
83ce87ab-eedb-4898-91a6-f5748419862c,cafe,https://www.crostiniandjava.com,37.7889803,-122.4171394,Crostini & Java,"899 Hyde St, San Francisco, CA 94109-5927","{""Fri"":""06:30:00–15:00:00"",""Mon"":""06:30:00–15:00:00"",""Sat"":""07:30:00–15:00:00"",""Sun"":""07:30:00–15:00:00"",""Thu"":""06:30:00–15:00:00"",""Tue"":""06:30:00–15:00:00"",""Wed"":""06:30:00–15:00:00""}",1,https://www.tripadvisor.com/Restaurant_Review-g60713-d14080095-Reviews-Crostini_Java-San_Francisco_California.html?m=63959,"Takes Reservations,Offers Delivery,Offers Takeout,Vegan Options,Accepts Credit Cards,Accepts Apple Pay,Outdoor Seating,Casual,Moderate Noise,Offers Catering,Good For Kids,Good for Lunch,Street Parking,Dogs Allowed,Wheelchair Accessible,Gender-neutral restrooms,Open to All,Covered Outdoor Seating,Not Good For Groups,Not Good For Working,No Waiter Service,No Wi-Fi,No Happy Hour,No Alcohol,No Drive-Thru,No TV,No Heated Outdoor Seating,No Private Dining,Bike Parking,Compostable containers available,Plastic-free packaging,Provides reusable tableware"
dd0f65e6-934f-48d5-b4b8-53803029234f,cafe,https://www.bobsdonutssf.com,37.791885,-122.4211078,Bob's Donuts,"1621 Polk St, San Francisco, CA 94109-3614","{""Fri"":""00:00:00–23:59:00"",""Mon"":""00:00:00–23:59:00"",""Sat"":""00:00:00–23:59:00"",""Thu"":""00:00:00–23:59:00"",""Tue"":""00:00:00–23:59:00"",""Wed"":""00:00:00–23:59:00""}",1,https://www.tripadvisor.com/Restaurant_Review-g60713-d2649298-Reviews-Bob_s_Donuts_Pastry_Shop-San_Francisco_California.html?m=63959,"Offers Delivery,Offers Takeout,Vegan Options,Accepts Credit Cards,Accepts Apple Pay,Quiet,Street Parking"
edf66767-4c0a-423a-9800-564fe47fcf6a,cafe,http://www.javabeachsf.com,37.7604494,-122.508978,Java Beach Cafe,"1396 La Playa St, San Francisco, CA 94122-1019","{""Fri"":""06:00:00–17:00:00"",""Mon"":""06:00:00–17:00:00"",""Sat"":""06:30:00–17:00:00"",""Sun"":""06:30:00–17:00:00"",""Thu"":""06:00:00–17:00:00"",""Tue"":""06:00:00–17:00:00"",""Wed"":""06:00:00–17:00:00""}",1,https://www.tripadvisor.com/Restaurant_Review-g60713-d2620311-Reviews-Java_Beach_Cafe-San_Francisco_California.html?m=63959,"Offers Delivery,Offers Takeout,No Reservations,Vegan Options,Accepts Credit Cards,Accepts Apple Pay,Accepts Android Pay,Outdoor Seating,Classy, Casual,Moderate Noise,Good for Groups,Good For Kids,Good for Breakfast, Lunch,Good for Working,Street Parking,Free Wi-Fi,Beer &amp; Wine Only,Dogs Allowed,Wheelchair Accessible,Gender-neutral restrooms,Open to All,Offers Catering,No Waiter Service,No Happy Hour,No TV,Bike Parking"
f616f29e-9a40-4a49-b66d-c545614c0537,cafe,http://www.cafestjorge.com,37.7416967,-122.422572,Cafe St. Jorge,"3438 Mission St, San Francisco, CA 94110-5437","{""Fri"":""07:00:00–18:00:00"",""Mon"":""07:00:00–18:00:00"",""Sat"":""07:00:00–20:00:00"",""Sun"":""08:00:00–17:00:00"",""Thu"":""07:00:00–18:00:00"",""Tue"":""07:00:00–18:00:00"",""Wed"":""07:00:00–18:00:00""}",2.5,https://www.tripadvisor.com/Restaurant_Review-g60713-d4866225-Reviews-Cafe_St_Jorge-San_Francisco_California.html?m=63959,"Offers Delivery,Offers Takeout,Accepts Credit Cards,Accepts Apple Pay,Outdoor Seating,Good for Working,Street Parking,Free Wi-Fi,Gender-neutral restrooms,Offers Catering,Bike Parking"
